"nro";"y";"salary";"wl"
"56";36.1619143868872;"High";"Moderate"
"57";35.3180427631481;"High";"Moderate"
"58";36.3130115296286;"High";"Moderate"
"59";37.7867789045739;"High";"Moderate"
"60";35.601007582358;"High";"Moderate"
"61";34.7028501294097;"High";"Moderate"
"62";38.1801813317574;"High";"Moderate"
"63";35.7878155292388;"High";"Moderate"
"64";33.5450329799376;"High";"Moderate"
"65";36.1761286595439;"High";"Moderate"
"66";37.7382768209304;"High";"Moderate"
"67";34.9240631936634;"High";"Moderate"
"68";34.7587794084579;"High";"Moderate"
"69";35.8127194091148;"High";"Moderate"
"70";36.2906482631515;"High";"Moderate"
"71";36.1486069482052;"High";"Moderate"
"72";35.5626999891897;"High";"Moderate"
"73";35.0018896696852;"High";"Moderate"
"74";36.1339500970673;"High";"Moderate"
"75";36.7532746213741;"High";"Moderate"
"76";35.5467591113028;"High";"Moderate"
"77";34.9576883786866;"High";"Moderate"
"78";36.6219200952964;"High";"Moderate"
"79";34.3815786207382;"High";"Moderate"
"80";36.4997335154047;"High";"Moderate"
"81";35.8041434219323;"High";"Moderate"
"82";37.1421411822975;"High";"Moderate"
"83";35.4488238489798;"High";"Moderate"
"84";34.8774785410998;"High";"Moderate"
"85";38.1790997391164;"High";"Moderate"
"86";35.3944542526635;"High";"Moderate"
"87";34.6630614978238;"High";"Moderate"
"88";35.9974814415626;"High";"Moderate"
"89";35.0279894285417;"High";"Moderate"
"90";33.9042058675603;"High";"Moderate"
"91";37.3470478379984;"High";"Moderate"
"92";34.6406238111736;"High";"Moderate"
"93";37.0939277894762;"High";"Moderate"
"94";35.3694636596049;"High";"Moderate"
"95";36.6976595802683;"High";"Moderate"
"96";40.7156942618955;"High";"Low"
"97";41.8178453783858;"High";"Low"
"98";39.3483547706643;"High";"Low"
"99";41.7301111006261;"High";"Low"
"100";40.3889566898681;"High";"Low"
"101";40.7007984776792;"High";"Low"
"102";40.7708866787249;"High";"Low"
"103";41.1907344696434;"High";"Low"
"104";40.9281656658264;"High";"Low"
"105";38.7484936453313;"High";"Low"
"106";41.5426480235945;"High";"Low"
"107";42.0725138705772;"High";"Low"
"108";39.6535282316947;"High";"Low"
"109";42.0865674356922;"High";"Low"
"110";42.045793612026;"High";"Low"
"111";42.0856777665513;"High";"Low"
"112";42.5590222212222;"High";"Low"
"113";41.7468261971632;"High";"Low"
"114";39.5219335292854;"High";"Low"
"115";40.6438591341026;"High";"Low"
"116";40.3033224981205;"High";"Low"
"117";40.2708940016005;"High";"Low"
"118";41.0867910731632;"High";"Low"
"119";40.8796880151194;"High";"Low"
"120";40.7644845027981;"High";"Low"
"121";42.4653112121244;"High";"Low"
"122";40.10553308578;"High";"Low"
"123";41.5477027844349;"High";"Low"
"124";41.4517682305636;"High";"Low"
"125";40.6262286862978;"High";"Low"
"126";43.0029524004807;"High";"Low"
"127";41.7431905450125;"High";"Low"
"128";41.161541281343;"High";"Low"
"129";41.9578637299393;"High";"Low"
"130";39.7540665501997;"High";"Low"
"131";40.6764275798048;"High";"Low"
"132";39.3327805428379;"High";"Low"
"133";41.2585583610024;"High";"Low"
"134";39.487388216611;"High";"Low"
"135";40.6034564378885;"High";"Low"
"136";40.5314893921109;"High";"Low"
"137";41.0811590756676;"High";"Low"
"138";38.827636112857;"High";"Low"
"139";40.4767552850807;"High";"Low"
"140";41.1603721679954;"High";"Low"
"141";39.4705418879514;"High";"Low"
"142";41.4263438092648;"High";"Low"
"143";39.0390686178729;"High";"Low"
"144";40.3928271324511;"High";"Low"
"145";41.323263442652;"High";"Low"
"146";22.8755724277753;"Low";"High"
"147";23.0464886396875;"Low";"High"
"148";24.3751836781154;"Low";"High"
"149";22.5223385744166;"Low";"High"
"150";23.3502796504486;"Low";"High"
"151";21.2983258938888;"Low";"High"
"152";23.3031716029344;"Low";"High"
"153";22.8877985949634;"Low";"High"
"154";23.6985053607537;"Low";"High"
"155";22.0410708131011;"Low";"High"
"156";23.8332724182941;"Low";"High"
"157";24.2462642937224;"Low";"High"
"158";24.2160097688355;"Low";"High"
"159";22.0419772334108;"Low";"High"
"160";22.2576703786931;"Low";"High"
"161";22.8929219176689;"Low";"High"
"162";22.3612525870877;"Low";"High"
"163";23.7962922019795;"Low";"High"
"164";23.220579226365;"Low";"High"
"165";21.5898043932916;"Low";"High"
"166";23.964807595306;"Low";"High"
"167";21.7340439899026;"Low";"High"
"168";22.224089906625;"Low";"High"
"169";22.6666109031228;"Low";"High"
"170";22.5854352658799;"Low";"High"
"171";23.075200339737;"Low";"High"
"172";22.7429419110591;"Low";"High"
"173";23.4226178886812;"Low";"High"
"174";22.7980517677961;"Low";"High"
"175";21.9053625273933;"Low";"High"
"176";37.325652684728;"Low";"Moderate"
"177";34.9207223895153;"Low";"Moderate"
"178";37.3078707347707;"Low";"Moderate"
"179";36.5575034058144;"Low";"Moderate"
"180";36.8213799936774;"Low";"Moderate"
"181";35.6574168435694;"Low";"Moderate"
"182";35.7635881904334;"Low";"Moderate"
"183";36.6534393395105;"Low";"Moderate"
"184";35.4453877168558;"Low";"Moderate"
"185";37.9288345759838;"Low";"Moderate"
"186";35.9881651763948;"Low";"Moderate"
"187";35.5814235702138;"Low";"Moderate"
"188";35.8538744729547;"Low";"Moderate"
"189";35.3478775664426;"Low";"Moderate"
"190";36.2391552096078;"Low";"Moderate"
"191";35.6865855075707;"Low";"Moderate"
"192";35.0833719147678;"Low";"Moderate"
"193";36.5262250232429;"Low";"Moderate"
"194";35.7438781504381;"Low";"Moderate"
"195";36.4419863047617;"Low";"Moderate"
"196";38.1746751778167;"Low";"Moderate"
"197";37.1348525769068;"Low";"Moderate"
"198";34.8352520108338;"Low";"Moderate"
"199";35.7466488621802;"Low";"Moderate"
"200";37.1916851414984;"Low";"Moderate"
"201";36.4685849779807;"Low";"Moderate"
"202";37.5071186574432;"Low";"Moderate"
"203";35.1701731464096;"Low";"Moderate"
"204";37.6835000591419;"Low";"Moderate"
"205";36.5662635464844;"Low";"Moderate"
"206";35.8356117294323;"Low";"Moderate"
"207";36.7391436742594;"Low";"Moderate"
"208";35.7755163048922;"Low";"Moderate"
"209";34.9395924736564;"Low";"Moderate"
"210";34.6715283520756;"Low";"Moderate"
"211";35.9595733883821;"Low";"Moderate"
"212";36.3567638409256;"Low";"Moderate"
"213";34.8629549445904;"Low";"Moderate"
"214";35.3139641471436;"Low";"Moderate"
"215";37.9860986614811;"Low";"Moderate"
"216";35.7352438636826;"Low";"Moderate"
"217";34.7951754821995;"Low";"Moderate"
"218";36.5595934026859;"Low";"Moderate"
"219";35.4974866058732;"Low";"Moderate"
"220";35.6852598813052;"Low";"Moderate"
"221";35.9040403185399;"Low";"Moderate"
"222";35.8363540129485;"Low";"Moderate"
"223";35.6685763460278;"Low";"Moderate"
"224";35.0336770931051;"Low";"Moderate"
"225";34.6850064218118;"Low";"Moderate"
"226";35.7995274912211;"Low";"Moderate"
"227";36.2030024044809;"Low";"Moderate"
"228";36.3648128466677;"Low";"Moderate"
"229";34.2820874934186;"Low";"Moderate"
"230";34.913978598199;"Low";"Moderate"
"231";37.2681175749991;"Low";"Moderate"
"232";36.2173926603943;"Low";"Moderate"
"233";33.9892120540477;"Low";"Moderate"
"234";35.8802331788374;"Low";"Moderate"
"235";33.79910223044;"Low";"Moderate"
"236";35.6991735372044;"Low";"Moderate"
"237";35.8107981750104;"Low";"Moderate"
"238";37.1572169058991;"Low";"Moderate"
"239";34.5996537990985;"Low";"Moderate"
"240";36.5941085002639;"Low";"Moderate"
"241";36.7979101903048;"Low";"Moderate"
"242";36.2710669715567;"Low";"Moderate"
"243";37.4885662659086;"Low";"Moderate"
"244";36.6342961958014;"Low";"Moderate"
"245";37.1513710096327;"Low";"Moderate"
"246";40.2030086468846;"Low";"Low"
"247";40.7060528253797;"Low";"Low"
"248";41.5465503654298;"Low";"Low"
"249";39.2451685450007;"Low";"Low"
"250";40.1893981350516;"Low";"Low"
"251";41.0520759054223;"Low";"Low"
"252";40.6893464088403;"Low";"Low"
"253";41.9940378077684;"Low";"Low"
"254";42.5074425744437;"Low";"Low"
"255";41.0569801978233;"Low";"Low"
"256";40.1390037426199;"Low";"Low"
"257";41.2633022565664;"Low";"Low"
"258";40.2290179259167;"Low";"Low"
"259";40.9317997529213;"Low";"Low"
"260";40.7230940430829;"Low";"Low"
"261";41.3026093184011;"Low";"Low"
"262";38.9750083512583;"Low";"Low"
"263";40.8594200686601;"Low";"Low"
"264";39.3963634874077;"Low";"Low"
"265";39.5455467195656;"Low";"Low"
"266";41.4750102592304;"Low";"Low"
"267";39.1620818233505;"Low";"Low"
"268";41.3606195132749;"Low";"Low"
"269";40.5106036954548;"Low";"Low"
"270";41.8908912328558;"Low";"Low"
"271";39.8472665401075;"Low";"Low"
"272";40.9231941188666;"Low";"Low"
"273";43.3209088851268;"Low";"Low"
"274";41.8198122462168;"Low";"Low"
"275";39.4844731147686;"Low";"Low"
"276";40.3653840928332;"Low";"Low"
"277";39.4602211995334;"Low";"Low"
"278";39.6310688421252;"Low";"Low"
"279";42.3929360556746;"Low";"Low"
"280";40.2546603549891;"Low";"Low"
"281";40.709807458436;"Low";"Low"
"282";40.0069362655645;"Low";"Low"
"283";40.7703114412254;"Low";"Low"
"284";41.4342504425441;"Low";"Low"
"285";41.0806065599194;"Low";"Low"
"286";42.3458866609564;"Low";"Low"
"287";38.7127215562081;"Low";"Low"
"288";42.5808503325942;"Low";"Low"
"289";40.9468656091221;"Low";"Low"
"290";39.3056324982999;"Low";"Low"
"291";39.4840645231069;"Low";"Low"
"292";40.4349964982402;"Low";"Low"
"293";40.9080033392626;"Low";"Low"
"294";41.3471048661764;"Low";"Low"
"295";40.7683298331472;"Low";"Low"
"296";42.4032625411682;"Low";"Low"
"297";41.5853398285069;"Low";"Low"
"298";40.2626277617492;"Low";"Low"
"299";39.5548623195944;"Low";"Low"
"300";40.9760107309265;"Low";"Low"
"301";39.0605379812297;"Low";"Low"
"302";40.3190502814283;"Low";"Low"
"303";40.5244711201981;"Low";"Low"
"304";42.7288583421759;"Low";"Low"
"305";42.6853901417665;"Low";"Low"
"306";41.0743768743095;"Low";"Low"
"307";40.8970033897897;"Low";"Low"
"308";39.7981282981738;"Low";"Low"
"309";42.3545118847619;"Low";"Low"
"310";40.9297960222681;"Low";"Low"
"311";39.1281947063345;"Low";"Low"
"312";41.0264680672967;"Low";"Low"
"313";40.4938629071798;"Low";"Low"
"314";40.191271886117;"Low";"Low"
"315";42.2987881558286;"Low";"Low"
